episode,step,reward,terminated,truncated,value,entropy,action,log_prob,max_prob,probs_json,logits_json
0,0,0.0,0,0,0.6895582675933838,0.29253262281417847,4,-0.06566381454467773,0.9364457726478577,"[0.0013431233819574118, 0.004847809672355652, 0.00645247520878911, 0.001133783720433712, 0.9364457726478577, 0.0015065267216414213, 0.04827043041586876]","[-6.612757682800293, -5.329228401184082, -5.0432915687561035, -6.782195091247559, -0.06566381454467773, -6.49794864654541, -3.0309362411499023]"
0,1,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,2,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,3,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,4,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,5,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,6,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,7,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,8,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,9,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
0,10,0.0,0,0,0.6926661729812622,0.29497432708740234,4,-0.06632280349731445,0.9358285665512085,"[0.0013660237891599536, 0.004928463138639927, 0.006541689857840538, 0.001154522062279284, 0.9358285665512085, 0.0015326187713071704, 0.04864814877510071]","[-6.595850944519043, -5.312727928161621, -5.02955961227417, -6.764068603515625, -0.06632280349731445, -6.480777263641357, -3.023141384124756]"
