episode,step,reward,terminated,truncated,value,entropy,action,log_prob,max_prob,probs_json,logits_json
0,0,0.0,0,0,0.3006208539009094,1.9032909870147705,0,-2.063448905944824,0.2227988839149475,"[0.1270151436328888, 0.2227988839149475, 0.09182571619749069, 0.1329239159822464, 0.1854332685470581, 0.10390618443489075, 0.13609682023525238]","[-2.063448905944824, -1.501485824584961, -2.3878629207611084, -2.0179784297943115, -1.6850602626800537, -2.2642669677734375, -1.9943888187408447]"
0,1,0.0,0,0,0.3038853704929352,1.9031522274017334,6,-1.9945909976959229,0.22294820845127106,"[0.12695996463298798, 0.22294820845127106, 0.09176569432020187, 0.1329149752855301, 0.18549928069114685, 0.1038426086306572, 0.13606929779052734]","[-2.0638835430145264, -1.5008158683776855, -2.388516902923584, -2.018045663833618, -1.684704303741455, -2.264878988265991, -1.9945909976959229]"
0,2,0.0,0,0,0.29443642497062683,1.9034078121185303,4,-1.6862504482269287,0.22277848422527313,"[0.12703834474086761, 0.22277848422527313, 0.0918453186750412, 0.133017897605896, 0.18521270155906677, 0.10400646179914474, 0.1361008733510971]","[-2.0632662773132324, -1.501577377319336, -2.3876495361328125, -2.0172717571258545, -1.6862504482269287, -2.2633023262023926, -1.994359016418457]"
0,3,0.0,0,0,0.2992756962776184,1.9031107425689697,4,-1.685129165649414,0.22303028404712677,"[0.1270020455121994, 0.22303028404712677, 0.09171216189861298, 0.1329970508813858, 0.18542048335075378, 0.10380963236093521, 0.13602830469608307]","[-2.063552141189575, -1.5004477500915527, -2.3891003131866455, -2.017428398132324, -1.685129165649414, -2.2651965618133545, -1.9948923587799072]"
0,4,0.0,0,0,0.2992756962776184,1.9031107425689697,0,-2.063552141189575,0.22303028404712677,"[0.1270020455121994, 0.22303028404712677, 0.09171216189861298, 0.1329970508813858, 0.18542048335075378, 0.10380963236093521, 0.13602830469608307]","[-2.063552141189575, -1.5004477500915527, -2.3891003131866455, -2.017428398132324, -1.685129165649414, -2.2651965618133545, -1.9948923587799072]"
0,5,0.0,0,0,0.30977609753608704,1.9028282165527344,5,-2.266327142715454,0.2233038693666458,"[0.1269308477640152, 0.2233038693666458, 0.09159394353628159, 0.1328561007976532, 0.18561546504497528, 0.10369232296943665, 0.13600750267505646]","[-2.064112901687622, -1.4992218017578125, -2.390390157699585, -2.018488645553589, -1.6840782165527344, -2.266327142715454, -1.9950451850891113]"
0,6,0.0,0,0,0.2697768211364746,1.8998799324035645,3,-2.021923303604126,0.22621454298496246,"[0.12637978792190552, 0.22621454298496246, 0.09004420787096024, 0.13240055739879608, 0.18701927363872528, 0.10237047076225281, 0.13557115197181702]","[-2.0684635639190674, -1.4862713813781738, -2.407454490661621, -2.021923303604126, -1.6765435934066772, -2.2791569232940674, -1.9982585906982422]"
0,7,0.0,0,0,0.28552746772766113,1.8986737728118896,4,-1.6729985475540161,0.22735294699668884,"[0.12603549659252167, 0.22735294699668884, 0.0894998088479042, 0.13223552703857422, 0.18768346309661865, 0.1018325611948967, 0.13536019623279572]","[-2.0711917877197266, -1.4812517166137695, -2.4135189056396484, -2.0231707096099854, -1.6729985475540161, -2.2844254970550537, -1.9998160600662231]"
0,8,0.0,0,0,0.3021097779273987,1.897377610206604,3,-2.0245649814605713,0.22878816723823547,"[0.1257217973470688, 0.22878816723823547, 0.08887849748134613, 0.1320512741804123, 0.1880432665348053, 0.10133565217256546, 0.13518129289150238]","[-2.073683738708496, -1.4749586582183838, -2.420485019683838, -2.0245649814605713, -1.6710832118988037, -2.2893168926239014, -2.00113844871521]"
0,9,0.0,0,0,0.303326815366745,1.896013617515564,6,-2.0015060901641846,0.2301120012998581,"[0.12544217705726624, 0.2301120012998581, 0.08819478005170822, 0.13172852993011475, 0.18860456347465515, 0.10078628361225128, 0.1351316124200821]","[-2.0759103298187256, -1.469189167022705, -2.4282076358795166, -2.0270121097564697, -1.668102741241455, -2.294753074645996, -2.0015060901641846]"
