episode,step,reward,terminated,truncated,value,entropy,action,log_prob,max_prob,probs_json,logits_json
0,0,0.0,0,0,1.176253318786621,1.2291892766952515,1,-0.47000908851623535,0.6249966621398926,"[0.04815863445401192, 0.6249966621398926, 0.011711226776242256, 0.05808615684509277, 0.16733485460281372, 0.02907080017030239, 0.060641705989837646]","[-3.033254861831665, -0.47000908851623535, -4.447207450866699, -2.845828056335449, -1.7877583503723145, -3.5380210876464844, -2.8027725219726562]"
0,1,0.0,0,0,1.1320399045944214,1.204616665840149,1,-0.4505138397216797,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,2,0.0,0,0,1.1320399045944214,1.204616665840149,1,-0.4505138397216797,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,3,0.0,0,0,1.1320399045944214,1.204616665840149,1,-0.4505138397216797,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,4,0.0,0,0,1.1320399045944214,1.204616665840149,1,-0.4505138397216797,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,5,0.0,0,0,1.2005842924118042,1.2316694259643555,4,-1.73433518409729,0.6193079352378845,"[0.04840810224413872, 0.6193079352378845, 0.011391891166567802, 0.05633532255887985, 0.1765175312757492, 0.028249669820070267, 0.0597895011305809]","[-3.028088092803955, -0.4791526794433594, -4.474853515625, -2.8764336109161377, -1.73433518409729, -3.566673517227173, -2.816925287246704]"
0,6,0.0,0,0,1.2128946781158447,1.202249526977539,1,-0.45212411880493164,0.6362751722335815,"[0.045994073152542114, 0.6362751722335815, 0.01071970909833908, 0.05592774599790573, 0.1643649935722351, 0.027571003884077072, 0.05914726480841637]","[-3.079242706298828, -0.45212411880493164, -4.535671234130859, -2.883694648742676, -1.8056657314300537, -3.5909905433654785, -2.8277249336242676]"
0,7,0.0,0,0,1.2005842924118042,1.2316694259643555,1,-0.4791526794433594,0.6193079352378845,"[0.04840810224413872, 0.6193079352378845, 0.011391891166567802, 0.05633532255887985, 0.1765175312757492, 0.028249669820070267, 0.0597895011305809]","[-3.028088092803955, -0.4791526794433594, -4.474853515625, -2.8764336109161377, -1.73433518409729, -3.566673517227173, -2.816925287246704]"
0,8,0.0,0,0,1.2005842924118042,1.2316694259643555,0,-3.028088092803955,0.6193079352378845,"[0.04840810224413872, 0.6193079352378845, 0.011391891166567802, 0.05633532255887985, 0.1765175312757492, 0.028249669820070267, 0.0597895011305809]","[-3.028088092803955, -0.4791526794433594, -4.474853515625, -2.8764336109161377, -1.73433518409729, -3.566673517227173, -2.816925287246704]"
0,9,0.0,0,0,1.2005842924118042,1.2316694259643555,1,-0.4791526794433594,0.6193079352378845,"[0.04840810224413872, 0.6193079352378845, 0.011391891166567802, 0.05633532255887985, 0.1765175312757492, 0.028249669820070267, 0.0597895011305809]","[-3.028088092803955, -0.4791526794433594, -4.474853515625, -2.8764336109161377, -1.73433518409729, -3.566673517227173, -2.816925287246704]"
0,10,0.0,0,0,1.1320399045944214,1.204616665840149,4,-1.8265469074249268,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,11,0.0,0,0,1.2128946781158447,1.202249526977539,1,-0.45212411880493164,0.6362751722335815,"[0.045994073152542114, 0.6362751722335815, 0.01071970909833908, 0.05592774599790573, 0.1643649935722351, 0.027571003884077072, 0.05914726480841637]","[-3.079242706298828, -0.45212411880493164, -4.535671234130859, -2.883694648742676, -1.8056657314300537, -3.5909905433654785, -2.8277249336242676]"
0,12,0.0,0,0,1.1320399045944214,1.204616665840149,0,-3.058274745941162,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,13,0.0,0,0,1.1320399045944214,1.204616665840149,4,-1.8265469074249268,0.6373006701469421,"[0.04696866124868393, 0.6373006701469421, 0.011129292659461498, 0.05649605393409729, 0.16096845269203186, 0.02811824530363083, 0.05901867151260376]","[-3.058274745941162, -0.4505138397216797, -4.498174667358398, -2.873584508895874, -1.8265469074249268, -3.5713367462158203, -2.8299014568328857]"
0,14,0.0,0,0,1.2128946781158447,1.202249526977539,1,-0.45212411880493164,0.6362751722335815,"[0.045994073152542114, 0.6362751722335815, 0.01071970909833908, 0.05592774599790573, 0.1643649935722351, 0.027571003884077072, 0.05914726480841637]","[-3.079242706298828, -0.45212411880493164, -4.535671234130859, -2.883694648742676, -1.8056657314300537, -3.5909905433654785, -2.8277249336242676]"
0,15,0.0,0,0,1.2005842924118042,1.2316694259643555,6,-2.816925287246704,0.6193079352378845,"[0.04840810224413872, 0.6193079352378845, 0.011391891166567802, 0.05633532255887985, 0.1765175312757492, 0.028249669820070267, 0.0597895011305809]","[-3.028088092803955, -0.4791526794433594, -4.474853515625, -2.8764336109161377, -1.73433518409729, -3.566673517227173, -2.816925287246704]"
0,16,0.0,0,0,1.157989263534546,1.2184937000274658,1,-0.47646093368530273,0.6209771633148193,"[0.04371573030948639, 0.6209771633148193, 0.009994697757065296, 0.05657687410712242, 0.18093052506446838, 0.027189213782548904, 0.06061576306819916]","[-3.13004732131958, -0.47646093368530273, -4.605700492858887, -2.872154951095581, -1.7096421718597412, -3.6049349308013916, -2.8032002449035645]"
