episode,step,reward,terminated,truncated,value,entropy,action,log_prob,max_prob,probs_json,logits_json
0,0,0.0,0,0,1.2219218015670776,1.6621946096420288,1,-0.8221192359924316,0.43949925899505615,"[0.08876137435436249, 0.43949925899505615, 0.053977448493242264, 0.09847909957170486, 0.14943493902683258, 0.06946517527103424, 0.10038267076015472]","[-2.4218037128448486, -0.8221192359924316, -2.919188976287842, -2.31791090965271, -1.9008941650390625, -2.6669297218322754, -2.2987656593322754]"
0,1,0.0,0,0,1.5631481409072876,1.1607348918914795,6,-2.8578336238861084,0.6786617040634155,"[0.047094203531742096, 0.6786617040634155, 0.020197078585624695, 0.055345818400382996, 0.11039387434720993, 0.03091435879468918, 0.057392966002225876]","[-3.055605411529541, -0.3876326084136963, -3.902217388153076, -2.8941543102264404, -2.2037007808685303, -3.476534605026245, -2.8578336238861084]"
0,2,0.0,0,0,1.6022286415100098,0.8339922428131104,1,-0.23021459579467773,0.7943631410598755,"[0.02796684391796589, 0.7943631410598755, 0.009504412300884724, 0.034308142960071564, 0.0816379189491272, 0.016311945393681526, 0.035907573997974396]","[-3.576735734939575, -0.23021459579467773, -4.655999183654785, -3.372372627258301, -2.5054614543914795, -4.1158576011657715, -3.3268070220947266]"
0,3,0.0,0,0,1.6157207489013672,0.7028237581253052,1,-0.18047213554382324,0.8348759412765503,"[0.02144594117999077, 0.8348759412765503, 0.006503638345748186, 0.026969464495778084, 0.070110984146595, 0.011766116134822369, 0.028327831998467445]","[-3.842219829559326, -0.18047213554382324, -5.035393714904785, -3.6130499839782715, -2.6576757431030273, -4.442531585693359, -3.563910484313965]"
0,4,0.0,0,0,1.6619715690612793,0.661444902420044,0,-3.9347832202911377,0.8470097184181213,"[0.019549936056137085, 0.8470097184181213, 0.005692441016435623, 0.02470645122230053, 0.06651656329631805, 0.010442976839840412, 0.026081878691911697]","[-3.9347832202911377, -0.16604304313659668, -5.168615818023682, -3.700690746307373, -2.7103042602539062, -4.561825752258301, -3.646514415740967]"
0,5,0.0,0,0,1.7058998346328735,0.6472010016441345,1,-0.16136884689331055,0.8509781360626221,"[0.018860014155507088, 0.8509781360626221, 0.0053907171823084354, 0.023900378495454788, 0.0656493678689003, 0.009931296110153198, 0.025290004909038544]","[-3.9707112312316895, -0.16136884689331055, -5.223076820373535, -3.733860969543457, -2.7234272956848145, -4.612064361572266, -3.6773459911346436]"
0,6,0.0,0,0,1.724952220916748,0.6440095901489258,1,-0.1604621410369873,0.8517500162124634,"[0.018669037148356438, 0.8517500162124634, 0.005301866214722395, 0.023675883188843727, 0.06576133519411087, 0.009760761633515358, 0.02508113905787468]","[-3.980888843536377, -0.1604621410369873, -5.239696025848389, -3.743298292160034, -2.7217230796813965, -4.629384994506836, -3.6856391429901123]"
0,7,0.0,0,0,1.737318515777588,0.6446801424026489,1,-0.1608121395111084,0.8514518737792969,"[0.01866956055164337, 0.8514518737792969, 0.0052947113290429115, 0.023664753884077072, 0.06610775738954544, 0.009725396521389484, 0.025085849687457085]","[-3.980860710144043, -0.1608121395111084, -5.241046905517578, -3.7437684535980225, -2.7164690494537354, -4.63301420211792, -3.6854512691497803]"
0,8,0.0,0,0,1.7462149858474731,0.6462678909301758,4,-2.7117366790771484,0.8509331345558167,"[0.018728772178292274, 0.8509331345558167, 0.005314698908478022, 0.02371266856789589, 0.06642135977745056, 0.009738934226334095, 0.02515033259987831]","[-3.977694511413574, -0.1614217758178711, -5.237278938293457, -3.741745948791504, -2.7117366790771484, -4.6316237449646, -3.6828842163085938]"
0,9,0.0,0,0,1.7269266843795776,0.6362029314041138,1,-0.15792298316955566,0.8539155721664429,"[0.018339205533266068, 0.8539155721664429, 0.005165117792785168, 0.02317063882946968, 0.0653001070022583, 0.009489827789366245, 0.02461954765021801]","[-3.9987142086029053, -0.15792298316955566, -5.265827178955078, -3.764869451522827, -2.728761672973633, -4.657534599304199, -3.704214572906494]"
0,10,0.0,0,0,1.7255507707595825,0.6423761248588562,4,-2.7189998626708984,0.8521155714988708,"[0.01860933005809784, 0.8521155714988708, 0.005280430428683758, 0.023461878299713135, 0.06594067811965942, 0.009647909551858902, 0.024944307282567024]","[-3.9840922355651855, -0.1600332260131836, -5.243747711181641, -3.752378463745117, -2.7189998626708984, -4.641014099121094, -3.6911096572875977]"
0,11,0.0,0,0,1.7244157791137695,0.6326031684875488,1,-0.15660452842712402,0.8550422787666321,"[0.018246212974190712, 0.8550422787666321, 0.005139599554240704, 0.02295922487974167, 0.06474319845438004, 0.0094247255474329, 0.02444472163915634]","[-4.003798007965088, -0.15660452842712402, -5.270780563354492, -3.774035692214966, -2.7373268604278564, -4.664419174194336, -3.711341142654419]"
0,12,0.0,0,0,1.7267590761184692,0.6387642621994019,1,-0.15868782997131348,0.8532626628875732,"[0.018514933064579964, 0.8532626628875732, 0.005254483316093683, 0.023257892578840256, 0.06534501910209656, 0.009590810164809227, 0.024774206802248955]","[-3.989177703857422, -0.15868782997131348, -5.248673439025879, -3.761110782623291, -2.728074073791504, -4.646949768066406, -3.6979522705078125]"
0,13,0.0,0,0,1.727378010749817,0.6400676369667053,4,-2.7271556854248047,0.8529127240180969,"[0.01858595944941044, 0.8529127240180969, 0.005289863795042038, 0.023316068574786186, 0.06540506333112717, 0.009637320414185524, 0.02485312521457672]","[-3.98534893989563, -0.15909814834594727, -5.241962909698486, -3.758612632751465, -2.7271556854248047, -4.6421122550964355, -3.6947717666625977]"
0,14,0.0,0,0,1.7298697233200073,0.629338800907135,1,-0.15535688400268555,0.8561097979545593,"[0.01817752793431282, 0.8561097979545593, 0.005128601565957069, 0.02277582325041294, 0.06411108374595642, 0.009391485713422298, 0.024305706843733788]","[-4.007569313049316, -0.15535688400268555, -5.272922515869141, -3.7820558547973633, -2.747138261795044, -4.667952060699463, -3.7170443534851074]"
0,15,0.0,0,0,1.759283185005188,0.6354397535324097,4,-2.7373716831207275,0.8543330430984497,"[0.018432829529047012, 0.8543330430984497, 0.005226032342761755, 0.0230899415910244, 0.06474026292562485, 0.009549793787300587, 0.02462810091674328]","[-3.993621826171875, -0.15743398666381836, -5.25410270690918, -3.768357992172241, -2.7373716831207275, -4.651235580444336, -3.703866958618164]"
0,16,0.0,0,0,1.7416471242904663,0.6266964673995972,1,-0.1544201374053955,0.8569120764732361,"[0.01808571070432663, 0.8569120764732361, 0.00509200943633914, 0.022641969844698906, 0.06374465674161911, 0.009343762882053852, 0.024179888889193535]","[-4.012633323669434, -0.1544201374053955, -5.280082702636719, -3.787950277328491, -2.7528700828552246, -4.673046112060547, -3.7222342491149902]"
0,17,0.0,0,0,1.7668935060501099,0.6339627504348755,1,-0.15691184997558594,0.8547793626785278,"[0.018378522247076035, 0.8547793626785278, 0.005203405395150185, 0.023013968020677567, 0.06454456597566605, 0.009521331638097763, 0.024558857083320618]","[-3.996572494506836, -0.15691184997558594, -5.258441925048828, -3.771653890609741, -2.7403993606567383, -4.6542205810546875, -3.7066826820373535]"
0,18,0.0,0,0,1.773319959640503,0.6370933055877686,1,-0.1580064296722412,0.853844404220581,"[0.01849599927663803, 0.853844404220581, 0.00524794589728117, 0.023170236498117447, 0.06492529809474945, 0.00959455780684948, 0.024721629917621613]","[-3.990200996398926, -0.1580064296722412, -5.249918460845947, -3.7648868560791016, -2.734518051147461, -4.646559715270996, -3.7000768184661865]"
0,19,0.0,0,0,1.7786587476730347,0.6393420100212097,1,-0.15880084037780762,0.8531661629676819,"[0.01857883669435978, 0.8531661629676819, 0.005278568249195814, 0.023282485082745552, 0.06521262973546982, 0.00964449718594551, 0.024836821481585503]","[-3.985732078552246, -0.15880084037780762, -5.244100570678711, -3.760053873062134, -2.730102062225342, -4.641367435455322, -3.695427894592285]"
0,20,0.0,0,0,1.7574862241744995,0.6408591270446777,1,-0.1593325138092041,0.8527127504348755,"[0.018634770065546036, 0.8527127504348755, 0.0053087202832102776, 0.023344824090600014, 0.06540467590093613, 0.009679037146270275, 0.024915242567658424]","[-3.9827260971069336, -0.1593325138092041, -5.238404273986816, -3.7573800086975098, -2.7271616458892822, -4.637793064117432, -3.6922755241394043]"
0,21,0.0,0,0,1.7536588907241821,0.6413415670394897,1,-0.15948700904846191,0.8525811433792114,"[0.01866089552640915, 0.8525811433792114, 0.005323524586856365, 0.023366369307041168, 0.06543296575546265, 0.00969251524657011, 0.024942656978964806]","[-3.981325149536133, -0.15948700904846191, -5.235620021820068, -3.756457567214966, -2.726729154586792, -4.636401176452637, -3.691175937652588]"
